country,application_group,n_accepted,n_accepted_with_conditions,n_compatible,n_rejected,n_unclear,n_total_records,cell_text,status,status_value,cluster_value,country_order,cluster_label_raw
Czechia,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,2,1.0
Czechia,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,2,1.0
Czechia,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,2,1.0
Czechia,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,2,1.0
Czechia,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,2,1.0
Denmark,Food-waste liners / collection bags,1,1,2,1,0,3,2/1,Compatible-dominant,3,0.6666666666666666,22,3.0
Denmark,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,22,3.0
Denmark,Tea/coffee preparation items,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,22,3.0
Denmark,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,22,3.0
Denmark,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,22,3.0
Denmark,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,22,3.0
Denmark,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,22,3.0
Estonia,Food-waste liners / collection bags,0,0,0,0,0,0,—,No application-level record,0,,32,
Estonia,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,32,
Estonia,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,32,
Estonia,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,32,
Estonia,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,32,
Estonia,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,32,
Estonia,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,32,
Finland,Food-waste liners / collection bags,2,0,2,0,0,2,2/0,Compatible-dominant,3,1.0,8,2.0
Finland,Food-service ware / takeaway packaging,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,8,2.0
Finland,Tea/coffee preparation items,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,8,2.0
Finland,Food-soiled paper / fibre packaging,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,8,2.0
Finland,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,8,2.0
Finland,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,8,2.0
Finland,Generic compostable packaging / plastics,0,0,0,3,0,3,0/3,Rejected-dominant,2,0.0,8,2.0
France,Food-waste liners / collection bags,1,3,4,0,0,4,4/0,Compatible-dominant,3,1.0,6,2.0
France,Food-service ware / takeaway packaging,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,6,2.0
France,Tea/coffee preparation items,0,0,0,4,0,4,0/4,Rejected-dominant,2,0.0,6,2.0
